id;nome;descricao;criado_em;atualizado_em
1;Madeira Rua Inteligente;Metal Grosso;2023-07-04T03:28:07;2023-07-04T03:22:37
2;Coordinator Intranet;Taka bottom-line;2023-07-04T09:59:55;2023-07-04T12:41:02
3;Cuba;Marshall;2023-07-04T13:12:29;2023-07-03T19:07:42
4;Frango;payment;2023-07-04T05:21:30;2023-07-04T12:52:01
5;well-modulated back-end Architect;Fresco;2023-07-04T03:54:00;2023-07-04T06:31:25
6;Dollar Turismo Fantástico;Rufiyaa SMTP;2023-07-04T12:16:52;2023-07-03T19:50:55
7;extend visualize;Bicicleta quantifying;2023-07-04T13:59:39;2023-07-04T18:23:33
8;withdrawal;Directives Quality;2023-07-04T17:28:03;2023-07-04T12:45:18
9;vertical navigate;Rodovia Ergonômico;2023-07-03T22:31:37;2023-07-03T21:46:01
10;Crianças;Concreto;2023-07-04T15:12:34;2023-07-04T12:07:40
