id;chave;descricao;valor;atualizado_em;atualizado_por
1;Atentende;Congelado Sudão;Licenciado voluptate;2023-11-15T07:00:01;6485
2;sunt;eos ametista de;Legado Contas Operações;2023-11-15T18:35:54;16341
3;Branding;Rústico;Micronésia Analista;2023-11-15T21:49:09;31095
4;Gostoso Distrito;vermelho excepturi Chefe;Engenheiro Avenida Paraíba;2023-11-15T19:33:47;7943
5;açafrão;Masculino Pequeno;Investidor;2023-11-15T12:40:27;28962
6;Concreto;Especialista;Refinado Mobilidade Alícia;2023-11-15T11:05:00;20880
7;de pele;Comunicações;Paraíba;2023-11-15T21:57:05;15959
8;Masculino;Lindo;Configuration bordô;2023-11-15T10:18:20;30340
9;Infraestrutura Nacional;Distrito;fúchsia Automotivo;2023-11-15T03:24:10;24377
10;Corporativo Dados Saúde;âmbar minus Martins;Desenvolvedor Resposta;2023-11-15T10:49:17;11648
