id;chave;valor_chave;nome_amigavel;descricao;atualizado_em;locked
1;Impressionante;Sapatos Aplicações;Canadá Feminino Distrito;jade Fantástico;2023-10-17T01:40:46;true
2;Produto laranja;Saudita;tempore Atentende Burundi;Macio Divisão Assistente;2023-10-16T09:13:29;false
3;Bola vermelho Cliente;Feminino Infraestrutura Filmes;Indonésia;Masculino Congelado Brinquedos;2023-10-16T14:39:26;true
4;Borracha;Concreto Roraima Planejador;Soluções Fiji;Esportes;2023-10-16T21:15:50;false
5;Administrador Eletrônicos;Rua Dados;pele;vermelho;2023-10-16T13:13:30;true
6;Assurance Lindo;Paraná;Mobilidade Bebê;Casa sed;2023-10-16T05:35:28;true
7;Lustroso Mobilidade;Criativo International iste;Feminino;Fantástico Identidade;2023-10-16T04:37:37;true
8;roxo;fuligem;Chefe Fantástico Roraima;azul;2023-10-16T15:14:39;false
9;Feminino Coordenador;Criativo;Tcheca Pizza Gostoso;cenoura;2023-10-16T19:26:47;false
10;Interno Goiás;Central Madeira;salmão;Lindo magenta Criativo;2023-10-16T10:26:43;false
