id;nome;status;lida_em;link;tipo;criado_em
1;implement Marginal multi-state;true;2023-07-04T06:49:37;function Front-line Borders;Atividade;2023-07-04T05:08:26
2;Norte Usability;true;2023-07-04T08:32:41;sticky AI panel;Atividade;2023-07-04T11:14:51
3;payment Espanha;false;2023-07-03T20:47:54;engage;Notificacao;2023-07-03T21:03:06
4;PCI synergistic Assurance;false;2023-07-03T22:45:11;Associate;Atividade;2023-07-04T13:26:59
5;Grande;false;2023-07-04T00:35:10;Customer;Notificacao;2023-07-03T23:27:05
6;Paulo SMS Organic;true;2023-07-04T12:51:05;IB;Notificacao;2023-07-03T21:00:46
7;âmbar;false;2023-07-04T01:39:46;Equatorial Marginal Streamlined;Notificacao;2023-07-04T06:15:45
8;overriding USB;true;2023-07-04T07:18:02;Designer;Notificacao;2023-07-04T07:15:24
9;Plástico revolutionize;true;2023-07-03T21:26:50;Jogos Rodovia coral;Atividade;2023-07-04T02:36:18
10;firmware quantify;true;2023-07-04T09:27:33;iterate;Notificacao;2023-07-04T07:25:44
