id;numero;nome;descricao;setor;responsavel;setor_responsavel;criado_em;atualizado_em
1;Refinado Espírito;Paraná;fuligem;Cadeira;à Salada;Bicicleta;2023-07-04T09:12:37;2023-07-04T07:07:55
2;Granito;Congelado;Principal;Senior ouro bronze;Administrador;Masculino Gostoso Piauí;2023-07-04T05:02:17;2023-07-04T06:53:33
3;Policial;Interno Jóias;Regional Calças prata;Esther Avançar;Rondônia laborum;Masculino ferrugem escarlate;2023-07-04T02:55:34;2023-07-04T08:23:14
4;Nacional Masculino Rondônia;Engenheiro;aut;velit;expedita Ergonômico;Turismo verde;2023-07-04T05:41:10;2023-07-04T01:58:29
5;Diretor;Minas;azul vermelho Mesa;azul;Metal;Computadores;2023-07-04T16:02:29;2023-07-04T14:35:45
6;Marketing mão Masculino;preto Mauritânia;Administrador Computador Cazaquistão;Paraná Bahia Acre;Feminino;marrom Venezuela lilás;2023-07-04T01:12:57;2023-07-04T04:20:17
7;Teclado madeira;Impressionante;limão;Fresco Algodão Pernambuco;turquesa officia Mouse;Ceará Salgadinhos Pará;2023-07-04T14:09:04;2023-07-04T10:25:49
8;República;Toalhas Metal;Lindo Gerente;limão Técnico molestias;madeira ametista Rodovia;sint;2023-07-04T07:34:11;2023-07-04T11:26:04
9;Sapatos Metal;Santo;grená Distrito;Coordenador;Supervisor;Licenciado Inteligente Rodovia;2023-07-04T06:16:32;2023-07-04T08:12:47
10;Rústico;Analista Filmes Engenheiro;Impressionante;Genérico Senior de;Interações Implementação Paquistão;Gerais Granito Humano;2023-07-04T14:38:52;2023-07-04T09:05:41
