id;nome;descricao;criado_em;atualizado_em
1;Borders Fantástico;sexy;2023-07-04T17:03:58;2023-07-04T17:56:09
2;Implementation;Fantástico;2023-07-04T17:39:17;2023-07-04T01:56:01
3;interface;Atum;2023-07-04T14:20:37;2023-07-04T13:15:10
4;virtual;Travessa;2023-07-04T08:15:43;2023-07-04T17:31:27
5;Universal payment;Multi-channelled;2023-07-04T04:30:51;2023-07-04T17:49:32
6;National microchip Cadeira;Macio Factors Orchestrator;2023-07-04T03:57:53;2023-07-04T15:19:21
7;generate;Paradigm;2023-07-04T14:14:28;2023-07-04T04:35:30
8;Savings;Licenciado actuating;2023-07-04T15:38:24;2023-07-04T12:16:09
9;Bicicleta dot-com user-centric;web-readiness panel Fantástico;2023-07-04T00:38:38;2023-07-04T03:51:37
10;extensible EXE bandwidth;Lindo enterprise;2023-07-04T16:51:41;2023-07-04T17:14:09
